SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
815.94,86.86,87.41,0.34,-0.54,-3.57
-815.94,84.01,88.61,-1.24,-0.54,-4.66
815.94,81.27,85.98,0.91,-0.36,-3.63
-629.39,82.76,86.64,-2.31,-0.09,-0.16
815.94,84.86,85.53,1.14,0,1.31
815.94,90.78,85.62,-1.78,0.18,1.76
-815.94,91.56,88.22,1.53,0.09,4.81
815.94,98.24,87.02,0.57,0.27,6
815.94,95.32,89.14,0.13,0.18,-0.3
-815.94,91.2,90.99,2.88,0,1.56
815.94,89.99,89.57,-1.15,0,-0.89
-815.94,88.82,91.26,0.63,0.09,1.05
815.94,93.1,89.34,-0.41,0.09,1.67
815.94,93.23,90.33,-0.16,0.18,0.98
-815.94,93.03,91.51,1.78,0.18,1.5
815.94,92.48,90.8,-1.09,0.18,0.49
-815.94,91.07,92.18,1.44,0.18,0.67
815.94,91.74,90.61,-1.45,0.18,-0.27
-815.94,90.53,92.32,-1.45,0.18,-0.27
815.94,90.11,90.52,1.39,0.09,-0.32
-815.94,88.99,91.79,-1.54,-0.09,-1.71
815.94,87.32,89.99,1.12,-0.18,-1.16
-815.94,86.51,90.95,-1.58,-0.27,-4.62
815.94,82.06,88.5,0.64,-0.27,-3.16
-815.94,82.68,88.97,-2.05,-0.27,-2.41
815.94,84.43,87.15,0.34,-0.45,-6.45
-815.94,84.46,88.13,-1.12,-0.54,-3.23
815.94,81.93,85.57,0.06,-0.36,-5.25
-815.94,81.87,86.19,-1.76,-0.18,-1.85
815.94,88.25,84.94,0.88,0,1.32
815.94,91.56,84.27,-1.94,0.27,1.27
-815.94,92.68,87.51,1.84,0.18,3.79
815.94,96.22,86.81,1.06,0.27,5.68
815.94,96.18,87.39,-0.42,0.27,1.92
-815.94,96.19,90.89,2.73,0.09,1.13
815.94,93.94,90.09,0,0,-0.28
632,90.25,91.39,0.8,0,2.16
815.94,90.2,90.24,0.8,0.09,2.16
815.94,93.72,91.07,-0.77,0.09,0.9
815.94,92.69,91.02,0.95,0.18,1.29
815.94,92.25,91.32,-0.49,0.18,0.16
815.94,90.51,91.5,0.86,0.18,1.42
815.94,92.77,90.96,-0.78,0.18,-0.68
-815.94,91.46,92.23,0.58,0.09,0.94
815.94,90.53,90.8,-0.25,0.09,-0.16
-815.94,90.86,92.23,0.04,0,-0.2
815.94,90.04,90.48,-0.1,-0.18,-2.29
-815.94,85.79,91.8,-0.04,-0.27,-2.48
815.94,84.85,89.58,-0.7,-0.27,-4.53
-815.94,83.12,90.3,-0.28,-0.36,-2.3
815.94,85.41,87.98,-1.19,-0.54,-3.84
-815.94,84.17,89.2,0.31,-0.63,-2.73
