SL_PWM,SL_position
Calculating offsets, do not move MPU6050
-815.94,-35.94
-815.94,-37.27
-815.94,-38.62
-815.94,-40.04
-815.94,-41.41
-815.94,-42.72
-815.94,-44.20
-815.94,-45.62
-815.94,-47.01
-815.94,-48.49
-815.94,-49.94
-815.94,-51.43
-815.94,-52.91
-815.94,-54.37
-815.94,-55.80
-815.94,-57.24
-815.94,-58.74
-815.94,-60.24
-815.94,-61.66
-815.94,-63.17
-815.94,-64.60
-815.94,-66.06
-815.94,-67.56
-815.94,-68.98
-815.94,-70.46
-815.94,-71.96
-815.94,-73.40
-815.94,-74.84
-815.94,-76.28
-815.94,-77.76
815.94,-79.10
815.94,-80.33
815.94,-81.47
815.94,-82.55
815.94,-83.48
815.94,-84.31
815.94,-85.04
815.94,-85.65
815.94,-85.75
815.94,-86.19
815.94,-86.60
815.94,-86.77
815.94,-86.92
815.94,-87.04
815.94,-87.14
815.94,-87.22
815.94,-87.28
815.94,-87.30
815.94,-87.30
815.94,-87.28
815.94,-87.24
815.94,-87.17
815.94,-87.08
815.94,-86.98
815.94,-86.86
815.94,-86.72
815.94,-86.57
815.94,-86.41
815.94,-86.22
815.94,-86.16
815.94,-85.79
815.94,-85.32
815.94,-85.04
815.94,-84.49
815.94,-83.86
815.94,-83.16
815.94,-82.44
815.94,-81.67
815.94,-80.84
815.94,-79.98
815.94,-79.08
815.94,-78.13
815.94,-77.17
815.94,-76.14
815.94,-75.06
815.94,-73.95
815.94,-72.85
815.94,-71.68
815.94,-70.50
815.94,-69.27
815.94,-68.02
815.94,-66.94
815.94,-65.70
815.94,-64.39
815.94,-63.05
815.94,-61.66
815.94,-60.27
815.94,-58.92
815.94,-57.49
815.94,-56.06
815.94,-54.60
815.94,-53.22
815.94,-51.72
815.94,-50.29
815.94,-48.83
815.94,-47.34
815.94,-45.84
815.94,-44.31
815.94,-42.87
815.94,-41.37
815.94,-39.83
815.94,-38.36
815.94,-36.86
815.94,-35.50
815.94,-34.14
815.94,-32.67
815.94,-31.26
815.94,-29.83
815.94,-28.34
815.94,-26.99
815.94,-25.61
815.94,-24.21
815.94,-22.82
815.94,-21.48
815.94,-20.06
815.94,-18.63
815.94,-17.15
815.94,-15.74
815.94,-14.30
815.94,-12.89
815.94,-11.56
815.94,-10.12
815.94,-8.71
815.94,-7.26
815.94,-5.91
815.94,-4.43
815.94,-3.01
815.94,-1.59
815.94,-0.22
815.94,1.27
815.94,2.59
815.94,4.06
815.94,5.40
815.94,6.94
815.94,8.43
815.94,9.78
815.94,11.31
815.94,12.74
815.94,14.19
815.94,15.68
815.94,17.08
815.94,18.62
815.94,20.11
815.94,21.58
815.94,23.10
815.94,24.62
815.94,26.06
815.94,27.58
815.94,29.00
815.94,30.46
815.94,31.87
815.94,33.36
815.94,34.73
815.94,36.17
815.94,37.58
815.94,38.92
815.94,40.31
815.94,41.64
815.94,42.96
815.94,44.27
815.94,45.59
815.94,46.91
815.94,48.19
815.94,49.47
815.94,50.71
815.94,51.98
815.94,53.20
815.94,54.42
815.94,55.63
815.94,56.83
815.94,58.01
815.94,59.20
815.94,60.37
815.94,61.51
815.94,62.66
815.94,63.82
815.94,64.98
815.94,66.13
815.94,67.28
815.94,68.40
815.94,69.45
815.94,70.53
815.94,71.66
815.94,72.74
815.94,73.82
815.94,74.92
815.94,76.01
815.94,77.15
815.94,78.23
815.94,79.29
815.94,80.37
-815.94,81.43
-815.94,82.29
-815.94,83.11
-815.94,83.81
-815.94,84.42
-815.94,84.51
-815.94,84.90
-815.94,85.11
-815.94,85.16
-815.94,85.41
-815.94,85.53
-815.94,85.62
-815.94,85.68
-815.94,85.72
-815.94,85.72
-815.94,85.70
-815.94,85.66
-815.94,85.61
-815.94,85.52
-815.94,85.43
-815.94,85.31
-815.94,85.17
-815.94,85.02
-815.94,84.85
-815.94,84.65
-815.94,84.59
-815.94,84.21
-815.94,83.71
-815.94,83.14
-815.94,82.54
-815.94,81.83
-815.94,81.11
-815.94,80.33
-815.94,79.47
-815.94,78.59
-815.94,77.65
815.94,76.72
815.94,75.79
815.94,74.96
815.94,74.19
815.94,73.50
815.94,73.40
815.94,72.88
815.94,72.35
815.94,72.11
815.94,71.89
815.94,71.67
815.94,71.48
815.94,71.32
815.94,71.17
815.94,71.04
815.94,70.92
815.94,70.83
815.94,70.75
815.94,70.69
815.94,70.64
815.94,70.61
815.94,70.59
815.94,70.58
815.94,70.59
815.94,70.61
815.94,70.64
815.94,70.68
815.94,70.74
815.94,70.80
815.94,70.88
815.94,70.97
815.94,71.07
815.94,71.19
815.94,71.31
815.94,71.45
815.94,71.60
815.94,71.76
815.94,71.92
815.94,72.10
815.94,72.29
815.94,72.48
815.94,72.68
815.94,72.89
815.94,73.11
815.94,73.34
-815.94,73.57
-815.94,73.77
-815.94,73.95
-815.94,74.09
-815.94,74.21
-815.94,74.30
-815.94,74.37
-815.94,74.42
-815.94,74.45
-815.94,74.45
-815.94,74.43
-815.94,74.39
-815.94,74.33
-815.94,74.26
-815.94,74.16
-815.94,74.04
-815.94,73.92
-815.94,73.76
-815.94,73.59
-815.94,73.41
-815.94,73.20
-815.94,72.75
-815.94,72.49
-815.94,71.95
-815.94,71.35
-815.94,70.68
-815.94,69.96
-815.94,69.21
-815.94,68.41
-815.94,67.81
-815.94,66.89
-815.94,65.96
-815.94,64.98
-815.94,63.95
-815.94,62.93
-815.94,61.80
815.94,60.74
815.94,59.77
815.94,58.83
815.94,58.00
815.94,57.27
815.94,56.58
815.94,56.01
815.94,55.75
815.94,55.48
815.94,55.05
815.94,55.05
815.94,54.88
815.94,54.74
815.94,54.60
815.94,54.48
815.94,54.37
815.94,54.28
815.94,54.22
815.94,54.17
815.94,54.13
815.94,54.12
815.94,54.12
815.94,54.14
815.94,54.17
815.94,54.22
815.94,54.28
815.94,54.35
815.94,54.44
815.94,54.54
815.94,54.64
815.94,54.75
815.94,54.87
815.94,54.99
815.94,55.12
815.94,55.27
815.94,55.42
815.94,55.58
815.94,55.76
815.94,55.94
815.94,56.12
815.94,56.30
815.94,56.50
-815.94,56.69
-815.94,56.86
-815.94,56.99
-815.94,57.10
-815.94,57.19
-815.94,57.25
-815.94,57.29
-815.94,57.30
-815.94,57.28
-815.94,57.25
-815.94,57.19
-815.94,57.11
-815.94,57.02
-815.94,56.91
-815.94,56.77
-815.94,56.63
-815.94,56.46
-815.94,56.27
-815.94,56.05
-815.94,55.61
-815.94,55.35
-815.94,55.06
-815.94,54.50
-815.94,53.84
-815.94,53.15
-815.94,52.38
-815.94,51.58
-815.94,50.73
-815.94,49.83
-815.94,48.89
-815.94,47.88
-815.94,46.86
-815.94,45.81
-815.94,44.71
-815.94,43.56
815.94,42.40
815.94,41.47
815.94,40.47
815.94,39.54
815.94,38.71
815.94,37.92
815.94,37.24
815.94,37.13
815.94,36.61
815.94,36.08
815.94,35.83
815.94,35.76
815.94,35.39
815.94,35.20
815.94,35.03
815.94,34.88
815.94,34.74
815.94,34.62
815.94,34.52
815.94,34.43
815.94,34.35
815.94,34.29
815.94,34.24
815.94,34.21
815.94,34.19
815.94,34.19
815.94,34.20
815.94,34.23
815.94,34.27
815.94,34.32
815.94,34.39
815.94,34.46
815.94,34.55
815.94,34.64
815.94,34.75
815.94,34.86
815.94,34.99
815.94,35.12
815.94,35.28
815.94,35.43
815.94,35.60
815.94,35.78
815.94,35.96
815.94,36.14
815.94,36.35
815.94,36.55
815.94,36.76
815.94,36.97
815.94,37.20
815.94,37.27
815.94,37.67
815.94,37.74
815.94,38.15
815.94,38.23
815.94,38.66
815.94,38.91
815.94,39.19
815.94,39.72
815.94,40.00
815.94,40.28
815.94,40.57
815.94,40.87
815.94,41.46
815.94,42.06
815.94,42.67
815.94,42.98
815.94,43.32
815.94,43.96
815.94,44.29
815.94,44.40
815.94,44.98
815.94,45.67
815.94,46.37
815.94,47.07
815.94,47.78
815.94,48.52
815.94,49.25
815.94,50.01
815.94,50.77
815.94,51.52
815.94,52.27
815.94,53.07
815.94,53.83
815.94,54.63
815.94,55.16
815.94,55.96
815.94,56.78
815.94,57.60
815.94,58.43
815.94,59.25
815.94,60.08
815.94,60.93
815.94,61.78
815.94,62.63
815.94,63.47
815.94,64.34
815.94,65.19
815.94,66.05
815.94,66.91
815.94,67.78
815.94,68.66
815.94,69.28
815.94,70.13
815.94,71.02
-815.94,71.93
-815.94,72.70
-815.94,73.36
-815.94,73.89
-815.94,74.31
-815.94,74.48
-815.94,74.61
-815.94,74.73
-815.94,74.82
-815.94,74.88
-815.94,74.91
-815.94,74.92
-815.94,74.91
-815.94,74.87
-815.94,74.81
-815.94,74.73
-815.94,74.64
-815.94,74.52
-815.94,74.40
-815.94,74.24
-815.94,74.07
-815.94,73.87
-815.94,73.42
-815.94,72.91
-815.94,72.35
-815.94,71.71
-815.94,71.00
-815.94,70.25
-815.94,69.45
-815.94,68.60
-815.94,67.71
-815.94,66.77
-815.94,65.74
-815.94,64.71
-815.94,63.62
-815.94,62.50
-815.94,61.36
-815.94,60.12
-815.94,58.90
-815.94,57.65
-815.94,56.34
-815.94,55.04
-815.94,53.73
-815.94,52.35
-815.94,50.96
-815.94,49.56
-815.94,48.09
-815.94,46.65
-815.94,45.17
-815.94,43.71
-815.94,42.22
-815.94,40.75
-815.94,39.19
-815.94,37.74
-815.94,36.30
-815.94,34.82
-815.94,33.35
-815.94,31.84
-815.94,30.36
815.94,28.92
815.94,27.46
815.94,26.10
815.94,24.77
815.94,23.52
815.94,22.39
815.94,21.29
815.94,20.30
815.94,19.38
815.94,18.55
815.94,17.81
815.94,17.15
815.94,16.83
815.94,16.28
815.94,16.04
815.94,15.81
815.94,15.58
815.94,15.38
815.94,15.21
815.94,15.05
815.94,14.90
815.94,14.76
815.94,14.66
815.94,14.56
815.94,14.47
815.94,14.40
815.94,14.34
815.94,14.29
815.94,14.25
815.94,14.23
815.94,14.22
815.94,14.22
815.94,14.23
815.94,14.25
815.94,14.28
815.94,14.32
815.94,14.37
-815.94,14.43
-815.94,14.46
-815.94,14.47
-815.94,14.46
-815.94,14.43
-815.94,14.37
-815.94,14.30
-815.94,14.22
-815.94,14.11
-815.94,13.99
-815.94,13.85
-815.94,13.70
-815.94,13.52
-815.94,13.33
-815.94,13.12
-815.94,12.90
-815.94,12.65
-815.94,12.13
-815.94,12.04
-815.94,11.53
-815.94,10.89
-815.94,10.17
-815.94,9.40
-815.94,8.59
-815.94,7.74
-815.94,6.80
-815.94,5.86
-815.94,4.85
-815.94,3.78
-815.94,2.70
-815.94,1.86
-815.94,0.71
-815.94,-0.45
-815.94,-1.70
815.94,-2.89
815.94,-4.01
815.94,-5.09
815.94,-6.13
815.94,-7.04
815.94,-7.88
815.94,-8.63
815.94,-9.32
815.94,-9.94
815.94,-10.47
815.94,-10.87
815.94,-11.25
815.94,-11.30
815.94,-11.55
815.94,-11.68
815.94,-11.79
815.94,-11.87
815.94,-11.94
815.94,-11.99
815.94,-12.03
815.94,-12.05
815.94,-12.06
815.94,-12.05
815.94,-12.02
815.94,-11.98
815.94,-11.93
815.94,-11.86
815.94,-11.78
815.94,-11.68
815.94,-11.56
815.94,-11.44
815.94,-11.30
815.94,-11.15
815.94,-10.98
815.94,-10.81
815.94,-10.62
815.94,-10.57
815.94,-10.22
815.94,-9.77
815.94,-9.27
815.94,-8.74
815.94,-8.16
815.94,-7.57
815.94,-6.92
815.94,-6.22
815.94,-5.50
815.94,-4.77
815.94,-3.99
815.94,-3.16
815.94,-2.34
815.94,-1.50
815.94,-0.63
815.94,0.25
815.94,1.19
815.94,2.09
815.94,2.79
815.94,3.73
815.94,4.71
815.94,5.74
815.94,6.73
815.94,7.78
815.94,8.83
815.94,9.88
-815.94,10.94
-815.94,11.87
-815.94,12.69
-815.94,13.42
-815.94,14.04
-815.94,14.55
-815.94,14.94
-815.94,15.10
-815.94,15.24
-815.94,15.34
-815.94,15.41
-815.94,15.47
-815.94,15.50
-815.94,15.50
-815.94,15.49
-815.94,15.45
-815.94,15.40
-815.94,15.32
-815.94,15.23
-815.94,15.12
-815.94,14.99
-815.94,14.83
-815.94,14.67
-815.94,14.48
-815.94,14.27
-815.94,13.83
-815.94,13.58
-815.94,13.31
-815.94,13.01
-815.94,12.42
-815.94,11.73
-815.94,11.00
-815.94,10.22
-815.94,9.41
-815.94,8.53
-815.94,7.60
815.94,6.68
815.94,5.86
815.94,5.11
815.94,4.45
815.94,4.35
815.94,3.86
815.94,3.58
815.94,3.10
815.94,2.88
815.94,2.69
815.94,2.52
815.94,2.37
815.94,2.22
815.94,2.09
815.94,1.98
815.94,1.89
815.94,1.81
815.94,1.75
815.94,1.71
815.94,1.69
815.94,1.69
815.94,1.70
815.94,1.73
815.94,1.78
815.94,1.84
815.94,1.91
815.94,2.00
815.94,2.10
815.94,2.21
815.94,2.34
815.94,2.47
815.94,2.60
815.94,2.76
815.94,2.92
815.94,3.09
815.94,3.29
815.94,3.49
815.94,3.69
815.94,3.90
815.94,4.14
815.94,4.37
