CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,-800.78,59.86,2.05,123.74,2.05,-0.14608,-0.11494,-0.00491,-0.00476,-0.00745,-0.01427,-0.00042,0.59,0.24,9.40
100,800.78,44.92,-6.60,101.37,-6.60,-0.10524,0.17453,-0.00331,0.03627,-0.00518,0.05179,0.00038,-5.54,0.42,7.62
100,-800.78,37.46,-8.51,91.98,-8.51,-0.08011,1.00980,-0.00331,0.00009,-0.00186,0.07902,0.00496,-0.14,-0.97,13.31
100,800.78,93.74,-4.30,73.41,-4.30,-0.06283,0.51142,-0.00325,0.00139,-0.00005,0.04191,-0.00291,5.90,1.39,10.21
100,800.78,61.86,-7.33,75.43,-7.33,-0.04869,0.44880,-0.00178,0.03510,0.00294,0.07133,-0.00037,-3.33,-0.98,11.18
100,401.62,105.94,1.21,86.35,1.21,-0.05969,0.29920,-0.00333,-0.03699,0.00241,-0.01258,-0.00089,7.31,1.56,6.03
100,-800.78,67.96,4.61,87.95,4.61,-0.07540,-0.29920,-0.00416,-0.01975,0.00055,-0.04426,0.00000,0.65,-0.08,10.69
100,800.78,108.99,0.10,79.27,0.10,-0.06597,-0.33660,-0.00306,0.02616,0.00051,-0.00099,0.00022,-1.75,0.78,9.46
100,670.17,69.49,-3.28,86.63,-3.28,-0.06597,0.22987,-0.00249,0.01394,0.00184,0.03248,-0.00067,-0.19,0.12,11.73
100,-800.78,49.74,3.27,84.14,3.27,-0.07383,0.00000,-0.00388,-0.03324,0.00045,-0.03327,-0.00134,1.30,0.63,7.58
100,800.78,99.88,-1.97,70.11,-1.97,-0.05184,-0.18700,-0.00242,0.03476,0.00127,0.01971,0.00107,-5.48,0.34,6.93
100,800.78,124.94,-5.23,74.99,-5.23,-0.04555,0.54795,-0.00220,0.00534,0.00342,0.05102,0.00226,-0.65,-0.43,12.56
100,800.78,113.74,2.37,86.99,2.37,-0.06283,0.11220,-0.00354,-0.03181,0.00246,-0.02268,-0.00268,3.69,0.40,10.02
100,29.08,71.87,5.29,102.66,5.29,-0.08482,-0.44880,-0.00414,-0.01434,0.00032,-0.05105,0.00201,0.82,0.54,8.24
