CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,800.78,35.46,-4.83,71.54,-4.83,-0.07069,0.18265,-0.00138,0.03362,-0.00017,0.04796,0.00107,-7.42,-1.22,13.25
100,-296.50,92.74,-8.49,69.98,-8.49,-0.04555,0.89760,-0.00093,0.01082,0.00328,0.08223,0.00427,-7.14,2.71,16.69
100,800.78,121.38,-0.42,70.40,-0.42,-0.05655,0.53637,-0.00256,-0.03987,0.00344,0.00397,-0.00223,16.65,-4.42,1.48
100,800.78,75.68,0.40,80.59,0.40,-0.06597,-0.25571,-0.00182,0.01764,0.00328,-0.00386,-0.00156,0.06,2.45,6.76
100,-388.78,112.85,4.49,87.70,4.49,-0.08168,-0.26180,-0.00275,-0.02219,0.00145,-0.04354,0.00000,0.67,0.27,14.68
100,800.78,71.42,2.30,86.99,2.30,-0.08482,-0.33660,-0.00258,0.00416,0.00049,-0.02286,0.00045,-1.41,-1.94,13.81
100,251.61,110.72,0.16,88.37,0.16,-0.08796,-0.07480,-0.00240,0.00432,0.00042,-0.00164,-0.00156,5.24,2.03,10.16
100,800.78,130.37,0.13,89.74,0.13,-0.08796,-0.03740,-0.00233,0.00172,0.00037,-0.00125,-0.00022,-4.17,-1.57,10.78
100,255.93,80.18,1.04,101.21,1.04,-0.09425,-0.03740,-0.00264,-0.00747,-0.00007,-0.01044,-0.00000,1.44,0.01,8.33
100,-800.78,55.08,5.00,97.14,5.00,-0.10367,-0.14960,-0.00418,-0.03656,-0.00210,-0.04844,0.00067,1.42,-0.10,8.82
100,800.78,42.54,-2.76,77.10,-2.76,-0.08011,-0.18265,-0.00238,0.04166,-0.00093,0.02731,0.00019,-7.14,1.74,10.17
100,-800.78,36.27,-7.90,74.62,-7.90,-0.05969,0.56100,-0.00100,0.03307,0.00233,0.07752,0.00248,-8.14,-0.97,16.80
100,800.78,33.13,-1.08,58.92,-1.08,-0.05027,0.44880,-0.00208,-0.02577,0.00277,0.01049,-0.00112,17.52,1.55,1.82
100,800.78,91.57,-6.75,59.05,-6.75,-0.03613,0.22440,-0.00033,0.04167,0.00530,0.06032,-0.00112,-10.38,1.01,7.64
100,800.78,120.79,0.73,71.51,0.73,-0.04398,0.33660,-0.00176,-0.03414,0.00504,-0.00625,0.00067,15.01,2.89,12.55
