SL_PWM,U,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
232.00000,0.00000,0.57121,-128.01990,-0.04084,0.52360,0.00204,-0.01734,0.00834,0.02686,-0.00000,0.39997,0.20837,-0.09221
232.00000,0.00000,0.50563,-60.99926,-0.03299,0.26180,0.00176,-0.01115,0.00873,0.01121,-0.00000,1.70885,0.18202,-0.01796
232.00000,0.00000,0.48228,-15.70796,-0.03142,0.00000,0.00162,0.00270,0.00886,0.00272,-0.01095,2.37227,0.13053,0.32812
232.00000,0.00000,0.48654,7.85398,-0.03142,0.00000,0.00161,-0.00135,0.00885,-0.00136,0.00000,1.30888,0.25627,-0.20238
232.00000,0.00000,0.48864,-0.26180,-0.03142,0.00000,0.00159,0.00005,0.00883,0.00005,0.00000,0.47421,-0.11736,0.09221
628.00000,0.00000,0.48928,0.78540,-0.03299,0.00000,0.00173,-0.00014,0.00883,-0.00014,0.00000,0.12215,-0.30536,0.00479
628.00000,0.00000,0.51276,41.88790,-0.03299,0.00000,0.00162,-0.00755,0.00873,-0.00759,0.00000,0.11257,-0.08981,-0.26944
628.00000,0.00000,0.58102,71.99483,-0.03613,0.00000,0.00147,-0.01412,0.00844,-0.01422,-0.01095,0.18921,-0.15927,0.28261
628.00000,0.00000,0.64928,85.34660,-0.03927,-0.26180,0.00147,0.00360,0.00803,-0.01867,0.00000,0.30776,0.13053,-0.19759
628.00000,0.00000,0.71848,84.29940,-0.04398,-0.26180,0.00139,0.00180,0.00756,-0.02030,-0.00000,0.97597,0.11736,-0.10778
826.00000,0.00000,0.78814,85.34660,-0.05027,-0.26180,0.00140,-0.00001,0.00717,-0.02196,-0.00000,0.42751,-0.01557,0.16286
826.00000,0.00000,0.86207,91.89159,-0.05655,-0.26180,0.00135,-0.00376,0.00660,-0.02551,-0.00000,0.09580,0.00719,-0.02395
826.00000,0.00000,0.94750,99.48377,-0.06283,-0.26180,0.00124,-0.00787,0.00597,-0.02942,0.00000,0.02515,-0.04910,-0.05628
826.00000,0.00000,1.03240,104.71976,-0.06912,-0.26180,0.00100,-0.01155,0.00521,-0.03291,0.00000,0.00599,-0.17005,0.15927
826.00000,0.00000,1.11994,107.59955,-0.07540,-0.26180,0.00080,-0.01463,0.00437,-0.03576,0.00000,0.00240,0.04670,-0.25986
826.00000,0.00000,1.20420,108.64675,-0.08168,-0.26180,0.00056,-0.01634,0.00375,-0.03734,-0.00000,0.18921,0.05748,-0.18082
